lodes_var,industry_code,total_employment,unemployment_totals,percent_change_employment
CNS01,11,124452,2625,-0.02109246938578729
CNS02,21,2150,214,-0.09953488372093024
CNS03,22,19639,151,-0.007688782524568461
CNS04,23,213420,35210,-0.16497985193515136
CNS05,31-33,308597,20232,-0.0655612335829577
CNS06,42,134647,7508,-0.05576061850616798
CNS07,44-45,387791,31377,-0.0809121408181211
CNS08,48-49,135169,6140,-0.045424616591082274
CNS09,51,152215,3068,-0.020155700817922017
CNS10,52,95425,1624,-0.01701860099554624
CNS11,53,59452,4291,-0.07217587297315481
CNS12,54,214193,6851,-0.031985172251194016
CNS13,55,44988,217,-0.004823508491153196
CNS14,56,180184,13012,-0.07221506904053634
CNS15,61,268051,9809,-0.03659378252645952
CNS16,62,491265,40028,-0.08147944592022635
CNS17,71,81011,13302,-0.16419992346718346
CNS18,72,295844,68316,-0.23091899785021835
CNS19,81,103213,18829,-0.18242857004447113
CNS20,92,173852,1802,-0.010365138163495387
